record_id,mode,subtype,strategies,algorithm_family,task_family_hash,difficulty,outcome,provider,toolchain,prompt_version,cosim_status
04f19a1cb106c3d684cc0d96fcd34a045079169bc32a3d262c4645498c88e849,OPTIMIZE,OPTIMIZATION_BOTTLENECK_OTHER,STREAMING,STREAM_PIPELINE,d97a72d669a5216282ca7b447d1cbd0fef48546e7ca6ad4d8fa103bca358d48e,2,FAILURE,openai-compatible-fast-experiment,Vitis 2025.2,openai-v2-compat-planner-adapter-v1:35d56144587801aefbcdc0908158a5d05df640dd49018c0c707fe36d83e3d814,PASS
08a39d3d663f111c21d42b6c1521a405689d39f8cbfc969b44ba1087a82c7749,REPAIR,WRONG_ARRAY_INDEX,FIX_ARRAY_INDEX,OTHER,c22acf97012cb09914f25c3ae5a8f5d43080397c123b917e5aaf30a43efda89e,2,NO_IMPROVEMENT,openai-compatible-task-aware,Vitis 2025.2,openai-v2-compat-planner-adapter-v1:f0775cfdd19a3b823024d1c870ed859473d589aaa1cc6d8e4494874d6d72ec32,NOT_RUN
0d3f8064564f7a4f423050b3ff7e10afa01e4fc20ec4f0370436e1d425917362,STRUCTURAL_FIX,FIFO_DEPTH_INSUFFICIENT,INCREASE_FIFO_DEPTH,STREAM_PIPELINE,0a990360b37c0f14d80d317a00a62d335d3ccdefad5d3a538f580028a97e5009,4,SUCCESS,openai-compatible-task-aware,Vitis 2025.2,openai-v2-compat-planner-adapter-v1:34b52aec1c8e600da1dd7b5f718680af0035652901dcdb305aad80838a2fea52,PASS
1d1784610a80391d119b1b720bc28dc17d7cc400eed8bf61cd41ab285416ad18,OPTIMIZE,OPTIMIZATION_BOTTLENECK_OTHER,LOOP_UNROLL+LOCAL_LOOP_RESTRUCTURE,VECTOR_ELEMENTWISE,800fd48ea541d92279e514725a33ee22bba8dc597b939f877310b00cfe4edae6,2,FAILURE,openai-compatible-fast-experiment,Vitis 2025.2,openai-v2-compat-planner-adapter-v1:106c525d17c8fd1ae8483335257db6637da8c2bd582c63e59919ad8b4a63faad,NOT_RUN
1f6dd3c1ac5d791839ae2d92a04003998ce96edf2db8946c6d00ca249271eda3,OPTIMIZE,OPTIMIZATION_BOTTLENECK_OTHER,LOOP_UNROLL,VECTOR_ELEMENTWISE,0defa7e6732a4530847c633ea2c5ee756a57ae932d182fb034a5af1ea831eaa1,3,NO_IMPROVEMENT,openai-compatible-fast-experiment,Vitis 2025.2,openai-v2-compat-planner-adapter-v1:89cd0d6a5b8482f03128a49ce622ebd60bc283e32d67b59495eba194c67519e6,NOT_RUN
237efd16866d4191b0842f8da50d541a865229f422630878f93e962fd718594b,OPTIMIZE,OPTIMIZATION_BOTTLENECK_OTHER,DATAFLOW,STREAM_PIPELINE,13da88166808091d00b8db11d4e5edc8c22efeba6135d30f93078beea7a9d10d,2,FAILURE,openai-compatible-fast-experiment,Vitis 2025.2,openai-v2-compat-planner-adapter-v1:35d56144587801aefbcdc0908158a5d05df640dd49018c0c707fe36d83e3d814,PASS
2423ea524da23a90c4f78a58a03aade5ad0fed5003302fd1088409c68052b33c,STRUCTURAL_FIX,FIFO_DEPTH_INSUFFICIENT,INCREASE_FIFO_DEPTH,STREAM_PIPELINE,0a990360b37c0f14d80d317a00a62d335d3ccdefad5d3a538f580028a97e5009,4,SUCCESS,openai-compatible-task-aware,Vitis 2025.2,openai-v2-compat-planner-adapter-v1:34b52aec1c8e600da1dd7b5f718680af0035652901dcdb305aad80838a2fea52,PASS
26fb6d36240821de70c03593e01349416273731d1863d1fb1f68aadce4ad7aa6,SYNTH_FIX,SYNTHESIS_ERROR_OTHER,OTHER_SYNTHESIS_REPAIR,STENCIL,2144fc1cb07f8992f5b58fecbb41ea3adef9c1932f98fb437a6f82198f326a03,3,NO_IMPROVEMENT,openai-compatible-task-aware,Vitis 2025.2,openai-v2-compat-planner-adapter-v1:98d5b1efb7c076541e7b8c72dd2cc0e4c677484ff1f92cf30e31b3dbd59cad7e,NOT_RUN
49810af7a896946f484eafbc9368b1c59364baa86327d4ba627fa55b51e7846c,REPAIR,FUNCTIONAL_MISMATCH_OTHER,OTHER_FUNCTIONAL_REPAIR,VECTOR_ELEMENTWISE,ca081486a01fa0bbe8d93812474e67327cfadd659967a424d8c10d43dab3fb99,2,NO_IMPROVEMENT,openai-compatible-task-aware,Vitis 2025.2,openai-v2-compat-planner-adapter-v1:b2d1e2cfa4065cbe5977f246a8aff3320d1a212843dba65031b275c408ea8fcd,NOT_RUN
58bcec5cc7bac8c581ce244f14d240d204b8ca7fbbbaaedb5ec34e56dd245a55,STRUCTURAL_FIX,FIFO_DEPTH_INSUFFICIENT,INCREASE_FIFO_DEPTH,STREAM_PIPELINE,0a990360b37c0f14d80d317a00a62d335d3ccdefad5d3a538f580028a97e5009,4,SUCCESS,openai-compatible-task-aware,Vitis 2025.2,openai-v2-compat-planner-adapter-v1:34b52aec1c8e600da1dd7b5f718680af0035652901dcdb305aad80838a2fea52,PASS
5e7eb551a30847b368d90a9dbdebb296a8ccac91e7148d8da89d2409b9b8128a,REPAIR,WRONG_COEFFICIENT,FIX_COEFFICIENT,VECTOR_ELEMENTWISE,f027d3351bfa35db4cc800b8fb3f429de7e689d80eb0014dd70f940951cd5700,1,NO_IMPROVEMENT,openai-compatible-task-aware,Vitis 2025.2,openai-v2-compat-planner-adapter-v1:106c525d17c8fd1ae8483335257db6637da8c2bd582c63e59919ad8b4a63faad,NOT_RUN
6987102f53964e5fb979b3e5f53fe643e35a4eebcc1370830fdc7132b94b4548,REPAIR,WRONG_COEFFICIENT,FIX_COEFFICIENT,VECTOR_ELEMENTWISE,f027d3351bfa35db4cc800b8fb3f429de7e689d80eb0014dd70f940951cd5700,1,NO_IMPROVEMENT,openai-compatible-task-aware,Vitis 2025.2,openai-v2-compat-planner-adapter-v1:106c525d17c8fd1ae8483335257db6637da8c2bd582c63e59919ad8b4a63faad,NOT_RUN
