schema_version,run_id,run_fingerprint,task_id,split,task_type,difficulty,algorithm_family,expected_mode,routed_mode,router_correct,model,repeat_index,backend,evidence_class,evidence_level,real_evidence_eligible,status,e2e_success,final_validation_success,fresh_final_success,acceleration_vs_baseline,credits_used,tokens_used,model_calls,csim_calls,synth_calls,cosim_calls,wall_time_s,patch_candidates,patch_rejections,failure_stage,stop_reason,resumed,run_dir,result_ref,result_sha256,source_result_ref,source_result_sha256,orchestration_receipt_ref
v3d.benchmark-run.v1,v3d_fast_001--deepseek-v4-pro--r001--ca18eaf1c00a,ca18eaf1c00adef931f459345f16c908716542fa608843445bf888aeb48d45bc,v3d_fast_001,unspecified,generate,1,,REPAIR,REPAIR,True,deepseek-v4-pro,1,vitis,REAL,REAL_VITIS_VALIDATED,True,DONE,True,True,True,,11,1566,1,3,2,0,35.39854041300714,1,0,,REPAIR_FINALIZED,False,/home/ying/CompetitionTrackA/track-A/llm4hls_harness/experiments/formal_matrix_20260724_4a05763_deepseek_28x1/runs/v3d_fast_001--deepseek-v4-pro--r001--ca18eaf1c00a,executor_result.json,5369ab805b9403c8ef1b143dfffc47629bdacd9516b232678c368e6e7c1a82a3,v3_prototype_result.json,8fc6f0eb291fe3107633970ad6784387c54e1102d8ed393a19ee615affc9b964,
v3d.benchmark-run.v1,v3d_fast_002--deepseek-v4-pro--r001--0ad86551e253,0ad86551e25307940053a67dc1b4b4c5744c75539569966d0aa899ea18cea263,v3d_fast_002,unspecified,generate,1,,REPAIR,REPAIR,True,deepseek-v4-pro,1,vitis,REAL,REAL_VITIS_VALIDATED,True,DONE,True,True,True,,11,1515,1,3,2,0,34.36079438496381,1,0,,REPAIR_FINALIZED,False,/home/ying/CompetitionTrackA/track-A/llm4hls_harness/experiments/formal_matrix_20260724_4a05763_deepseek_28x1/runs/v3d_fast_002--deepseek-v4-pro--r001--0ad86551e253,executor_result.json,23ae14418cff3d2ef311fccfe68b6518105be5f0b92f5da81d3bce444259458f,v3_prototype_result.json,c6222a516d83b75386d026d01821744be8f59de8c034e3d224215d5098ec5125,
v3d.benchmark-run.v1,v3d_fast_003--deepseek-v4-pro--r001--7c70797bd7a5,7c70797bd7a5478fb461fe7ff5d30b4c81976f524a07040054e8c75e87ae480d,v3d_fast_003,unspecified,generate,1,,REPAIR,REPAIR,True,deepseek-v4-pro,1,vitis,REAL,REAL_VITIS_VALIDATED,True,DONE,True,True,True,,11,1536,1,3,2,0,34.58772429195233,1,0,,REPAIR_FINALIZED,False,/home/ying/CompetitionTrackA/track-A/llm4hls_harness/experiments/formal_matrix_20260724_4a05763_deepseek_28x1/runs/v3d_fast_003--deepseek-v4-pro--r001--7c70797bd7a5,executor_result.json,2b32b9736698272bf46973825a6cc2631b3ef322dd7d959c0dd96b50e29bd411,v3_prototype_result.json,70178a814da20f9a6defb495b34a0ac09573ead8326dca6ef30255374500c22d,
v3d.benchmark-run.v1,v3d_fast_004--deepseek-v4-pro--r001--ff3141afd3f3,ff3141afd3f377d8f32e4bd786e184494b3eb48b458b64e38778fe9b11244eec,v3d_fast_004,unspecified,generate,2,,REPAIR,REPAIR,True,deepseek-v4-pro,1,vitis,REAL,REAL_VITIS_VALIDATED,True,DONE,True,True,True,,11,1800,1,3,2,0,36.25513280113228,1,0,,REPAIR_FINALIZED,False,/home/ying/CompetitionTrackA/track-A/llm4hls_harness/experiments/formal_matrix_20260724_4a05763_deepseek_28x1/runs/v3d_fast_004--deepseek-v4-pro--r001--ff3141afd3f3,executor_result.json,77ffd58940bcc30fc21b93f45ebb025458d5817f9d701a325b7fdc3ae571dccb,v3_prototype_result.json,ab5ab685868a76392ca55558e1743c9c91d517fcb7dd46b6ded07830cc54052a,
v3d.benchmark-run.v1,v3d_fast_005--deepseek-v4-pro--r001--6adf55d74a00,6adf55d74a00c6eeb27527a03bf94d178372a84d2cd036ed575af7bf4951f991,v3d_fast_005,unspecified,generate,2,,REPAIR,REPAIR,True,deepseek-v4-pro,1,vitis,REAL,REAL_VITIS_VALIDATED,True,DONE,True,True,True,,11,1487,1,3,2,0,34.4726116459351,1,0,,REPAIR_FINALIZED,False,/home/ying/CompetitionTrackA/track-A/llm4hls_harness/experiments/formal_matrix_20260724_4a05763_deepseek_28x1/runs/v3d_fast_005--deepseek-v4-pro--r001--6adf55d74a00,executor_result.json,36c50b952f96cef80b4d03f7ab997187df0394a585e7dc764a1b90afdeff74b3,v3_prototype_result.json,4ad72c331c983cc798a3f85bed1c93c201c3d52d952fd10409bedbe0a33df5d3,
v3d.benchmark-run.v1,v3d_fast_006--deepseek-v4-pro--r001--459ae66da79d,459ae66da79ddf5bedf5d6b3b30c880e8f5b4989918541b187ad486ff83ab2bd,v3d_fast_006,unspecified,generate,2,,REPAIR,REPAIR,True,deepseek-v4-pro,1,vitis,REAL,REAL_VITIS_ATTEMPT_FAILED,True,FAILED,False,False,False,,1,3322,2,1,0,0,15.297963986173272,2,2,BUDGET,MAX_TASK_REPAIR_ROUNDS,False,/home/ying/CompetitionTrackA/track-A/llm4hls_harness/experiments/formal_matrix_20260724_4a05763_deepseek_28x1/runs/v3d_fast_006--deepseek-v4-pro--r001--459ae66da79d,executor_result.json,a4b023b0eb058ff3085994c70f0f656e1d369411809271b14f839abdd9cac4b6,v3_prototype_result.json,eb0d56e7733e21ffeeaedef13f8eda49b7624c6d23707ea150a9d8c07a97997d,
v3d.benchmark-run.v1,v3d_fast_007--deepseek-v4-pro--r001--18dc26fb52fa,18dc26fb52fa07e25308d2a44ab1f6840c8e11812685e191414009c94adb7763,v3d_fast_007,unspecified,generate,2,,REPAIR,REPAIR,True,deepseek-v4-pro,1,vitis,REAL,REAL_VITIS_VALIDATED,True,DONE,True,True,True,,11,1636,1,3,2,0,35.099602073896676,1,0,,REPAIR_FINALIZED,False,/home/ying/CompetitionTrackA/track-A/llm4hls_harness/experiments/formal_matrix_20260724_4a05763_deepseek_28x1/runs/v3d_fast_007--deepseek-v4-pro--r001--18dc26fb52fa,executor_result.json,90505a4c65b2e2e5623a37bc00e1a05916fbeca17620ac45b0735ab6164fb8b9,v3_prototype_result.json,73f316cfea38b1bd90bb77a197e908364c21be0173b5b33586c3bfe5a47b653c,
v3d.benchmark-run.v1,v3d_fast_008--deepseek-v4-pro--r001--0e29dbad4aac,0e29dbad4aac0590c7ba3298f8791b29ce5921548a52bccc81e567e16b901193,v3d_fast_008,unspecified,generate,2,,REPAIR,REPAIR,True,deepseek-v4-pro,1,vitis,REAL,REAL_VITIS_VALIDATED,True,DONE,True,True,True,,11,1665,1,3,2,0,36.10133742191829,1,0,,REPAIR_FINALIZED,False,/home/ying/CompetitionTrackA/track-A/llm4hls_harness/experiments/formal_matrix_20260724_4a05763_deepseek_28x1/runs/v3d_fast_008--deepseek-v4-pro--r001--0e29dbad4aac,executor_result.json,3c088bc3c8fc92d4e239c26848df94c5319ae27f604d10682bd8699563f1e9a3,v3_prototype_result.json,54fa01f08b45b66e88404528e14093b834e48682dd74f5b2fe0bf79bc9db0eb3,
v3d.benchmark-run.v1,v3d_fast_009--deepseek-v4-pro--r001--0ae06b0e0fc6,0ae06b0e0fc655b7536855987e6de0dcc8a1040c793594f9c8daf9bcfb36a8d0,v3d_fast_009,unspecified,generate,2,,SYNTH_FIX,SYNTH_FIX,True,deepseek-v4-pro,1,vitis,REAL,REAL_VITIS_VALIDATED,True,DONE,True,True,True,,15,1713,1,3,3,0,44.39000317105092,1,0,,SYNTH_FIX_FINALIZED,False,/home/ying/CompetitionTrackA/track-A/llm4hls_harness/experiments/formal_matrix_20260724_4a05763_deepseek_28x1/runs/v3d_fast_009--deepseek-v4-pro--r001--0ae06b0e0fc6,executor_result.json,b8f8f11f69f35fa65f0c2cd6b191cdae92e932d1dec74ffeb36a55ad10aa0190,v3_prototype_result.json,4be07a7de000b8c0da203192d79d32eb92319934907f5a6f8fba0982358dfc25,
v3d.benchmark-run.v1,v3d_fast_010--deepseek-v4-pro--r001--be6f2f352824,be6f2f3528249bc8371c8a2b58a1d1b5ad052cb5199027555983a4d33e1b697f,v3d_fast_010,unspecified,generate,3,,SYNTH_FIX,SYNTH_FIX,True,deepseek-v4-pro,1,vitis,REAL,REAL_VITIS_VALIDATED,True,DONE,True,True,True,,15,1737,1,3,3,0,44.729737336048856,1,0,,SYNTH_FIX_FINALIZED,False,/home/ying/CompetitionTrackA/track-A/llm4hls_harness/experiments/formal_matrix_20260724_4a05763_deepseek_28x1/runs/v3d_fast_010--deepseek-v4-pro--r001--be6f2f352824,executor_result.json,b0645de170992038299e5fb104844ac84ef2f81c018186a9c0d6b37cadd07ff2,v3_prototype_result.json,4638193225939ea91155ec02361e5f56c1fde7ee1fa318025cbdfe3c15224e03,
